qID,p_clip_real,p_clip_degraded,delta
heico__2079887,0.9855983853340149,0.07982677221298218,-0.9057716131210327
heico__2045206,0.6509196162223816,0.03306635841727257,-0.617853257805109
heico__2184038,0.9862702488899231,0.9605627655982971,-0.025707483291625977
heico__2196980,0.5495650768280029,0.406390905380249,-0.1431741714477539
heico__2196981,0.6194924116134644,0.7698230147361755,0.15033060312271118
heico__2150397,0.5893110632896423,0.762451708316803,0.17314064502716064
heico__2148096,0.5794594883918762,0.6315781474113464,0.052118659019470215
heico__2150252,0.8514603972434998,0.005217567551881075,-0.8462428296916187
heico__2219531,0.4359901249408722,0.1886182427406311,-0.2473718822002411
heico__2219647,0.7471951246261597,0.391008198261261,-0.3561869263648987
heico__2250791,0.529062032699585,0.20972976088523865,-0.3193322718143463
heico__2221686,0.6499949097633362,0.2675807774066925,-0.3824141323566437
heico__2219738,0.5292810797691345,0.8464412093162537,0.31716012954711914
heico__2262249,0.884151816368103,0.5996751189231873,-0.28447669744491577
heico__2219551,0.7136088609695435,0.45116540789604187,-0.2624434530735016
heico__2221877,0.6250027418136597,0.1404932290315628,-0.48450951278209686
heico__2221743,0.9995240569114685,0.9673205018043518,-0.0322035551071167
heico__2298476,0.9316731691360474,0.24163395166397095,-0.6900392174720764
heico__2298529,0.6172061562538147,0.17975573241710663,-0.43745042383670807
heico__2278501,0.8048798441886902,0.1946546882390976,-0.6102251559495926
heico__2278502,0.9508081674575806,0.5031045079231262,-0.44770365953445435
heico__2278505,0.6494507193565369,0.41013309359550476,-0.2393176257610321
heico__2278507,0.8524330854415894,0.7155832052230835,-0.13684988021850586
heico__2278510,0.747361958026886,0.1614430993795395,-0.5859188586473465
heico__2298550,0.8752021789550781,0.7887404561042786,-0.08646172285079956
heico__2294506,0.3452630937099457,0.5516583323478699,0.2063952386379242
heico__2294556,0.9598059058189392,0.6573252081871033,-0.30248069763183594
heico__2294560,0.6466472148895264,0.6408421993255615,-0.005805015563964844
heico__2294561,0.9734681844711304,0.7026090025901794,-0.2708591818809509
heico__2298665,0.9724341630935669,0.8095123767852783,-0.16292178630828857
heico__2359425,0.6333580017089844,0.21079593896865845,-0.4225620627403259
heico__2298670,0.8423296809196472,0.8609402775764465,0.018610596656799316
heico__2359427,0.8744257688522339,0.8548204302787781,-0.01960533857345581
heico__2359428,0.7264581322669983,0.46264928579330444,-0.26380884647369385
heico__2294568,0.750852108001709,0.6168991923332214,-0.13395291566848755
heico__2359429,0.750628650188446,0.645378589630127,-0.10525006055831909
heico__2278511,0.9374327659606934,0.9034650921821594,-0.033967673778533936
heico__2359201,0.7453269362449646,0.6741816401481628,-0.07114529609680176
heico__2278512,0.8525156378746033,0.9094474911689758,0.05693185329437256
heico__2278513,0.9381376504898071,0.6670317053794861,-0.27110594511032104
heico__2278519,0.7281675338745117,0.244344100356102,-0.48382343351840973
heico__2298712,0.9300475120544434,0.4664888083934784,-0.46355870366096497
heico__2278520,0.972969114780426,0.6768338084220886,-0.2961353063583374
